city,area_name,category,notes,zip_code
Carlsbad,Calavera Hills,neighborhood,,92008
Carlsbad,Carlsbad Ranch,neighborhood,,92008
Carlsbad,Carlsbad Village,neighborhood,,92008
Carlsbad,Kelly Ranch,neighborhood,,92008
Carlsbad,La Costa,neighborhood,,92009
Carlsbad,North Beach,neighborhood,,92008
Carlsbad,Olde Carlsbad,neighborhood,,92008
Carlsbad,Poinsettia,neighborhood,,92011
Carlsbad,South Beach,neighborhood,,92008
Carlsbad,Tamarack Point,neighborhood,,92008
Carlsbad,The Barrio,neighborhood,,92008
Carlsbad,Aviara,subdivision/master-planned,,92011
Carlsbad,Bressi Ranch,subdivision/master-planned,,92009
Carlsbad,La Costa Greens,subdivision/master-planned,,92009
Carlsbad,La Costa Oaks,subdivision/master-planned,,92009
Carlsbad,La Costa Ridge,subdivision/master-planned,,92009
Carlsbad,Rancho Carrillo,subdivision/master-planned,,92008
Carlsbad,Rancho La Costa,subdivision/master-planned,,92009
Carlsbad,Robertson Ranch,subdivision/master-planned,,92010
Chula Vista,Castle Park,neighborhood,,91910
Chula Vista,Greg Rogers,neighborhood,,91910
Chula Vista,Harborside,neighborhood,,91910
Chula Vista,Hilltop,neighborhood,,91911
Chula Vista,North Chula Vista,neighborhood,,91910
Chula Vista,Otay Ranch Village,neighborhood,,91913
Chula Vista,Otay Town,neighborhood,,91911
Chula Vista,Salt Creek,neighborhood,,91914
Chula Vista,Terra Nova,neighborhood,,91910
Chula Vista,Village Center,neighborhood,,91910
Chula Vista,West Chula Vista (Urban Core),neighborhood,,91910
Chula Vista,Eastlake,subdivision/master-planned,,91915
Chula Vista,Eastlake Greens,subdivision/master-planned,Village within Eastlake,91915
Chula Vista,Eastlake Trails,subdivision/master-planned,Village within Eastlake,91915
Chula Vista,Eastlake Vistas,subdivision/master-planned,Village within Eastlake,91915
Chula Vista,Eastlake Woods,subdivision/master-planned,Village within Eastlake,91915
Chula Vista,Hillsborough (Otay Ranch),subdivision/master-planned,Village within Otay Ranch,91913
Chula Vista,Montecito (Otay Ranch),subdivision/master-planned,Village within Otay Ranch,91913
Chula Vista,Otay Ranch,subdivision/master-planned,,91913
Chula Vista,Rancho del Rey,subdivision/master-planned,,91914
Chula Vista,Rolling Hills Ranch,subdivision/master-planned,,91914
Chula Vista,San Miguel Ranch,subdivision/master-planned,,91914
Chula Vista,Sunbow,subdivision/master-planned,,91911
Chula Vista,Suwerte (Otay Ranch),subdivision/master-planned,Village within Otay Ranch,91913
Chula Vista,Windingwalk (Otay Ranch),subdivision/master-planned,Village within Otay Ranch,91913
Coronado,Coronado Cays,neighborhood,,92118
Coronado,Coronado Shores,neighborhood,,92118
