designation,number,name,city_or_area
California Historical Landmark,49,Adobe Chapel of the Immaculate Conception,San Diego
California Historical Landmark,50,Ballast Point Whaling Station,San Diego
California Historical Landmark,51,Old Point Loma Lighthouse,San Diego
California Historical Landmark,52,Old Mission Dam,San Diego
California Historical Landmark,53,Casa de Estudillo,San Diego
California Historical Landmark,54,Fort Stockton,San Diego
California Historical Landmark,55,Fort Rosecrans National Cemetery,San Diego
California Historical Landmark,56,Cabrillo National Monument (Cabrillo Landing Site),San Diego
California Historical Landmark,57,La Punta de los Muertos,San Diego
California Historical Landmark,59,Presidio of San Diego,San Diego
California Historical Landmark,60,Casa de Lopez,San Diego
California Historical Landmark,61,La Playa,San Diego
California Historical Landmark,62,Fort Rosecrans,San Diego
California Historical Landmark,63,Plaza San Diego Viejo (Washington Square),San Diego
California Historical Landmark,64,El Desembarcadero (Old Landing),San Diego
California Historical Landmark,65,Whaley House,San Diego
California Historical Landmark,66,Congress Hall,San Diego
California Historical Landmark,67,Serra Palm (Site),San Diego
California Historical Landmark,68,El Campo Santo,San Diego
California Historical Landmark,69,Fort Guijarros (Site),San Diego
California Historical Landmark,70,Casa de Pedrorena de Altamirano,San Diego
California Historical Landmark,71,Casa de Machado y Silvas,San Diego
California Historical Landmark,72,Casa de Bandini,San Diego
California Historical Landmark,73,Casa de Stewart,San Diego
California Historical Landmark,74,Casa de Carrillo,San Diego
California Historical Landmark,75,Casa de Cota (Site of),San Diego
California Historical Landmark,239,Mission San Luis Rey de Francia,Oceanside
California Historical Landmark,242,Mission San Diego de Alcalá,San Diego
California Historical Landmark,243,San Antonio de Pala Asistencia,Pala
California Historical Landmark,244,Derby Dike,San Diego
California Historical Landmark,304,Vallecito Station (Vallecito Stage Depot),Agua Caliente Springs
California Historical Landmark,311,Warner's Ranch,Warner Springs
California Historical Landmark,369,Chapel of Santa Ysabel (Site of),Santa Ysabel
California Historical Landmark,411,Gaskill Brothers' Stone Store,Campo
California Historical Landmark,412,Julian,Julian
California Historical Landmark,425,Rancho Cañada de los Coches,Lakeside
California Historical Landmark,452,Mule Hill,Escondido
California Historical Landmark,472,Box Canyon,Anza-Borrego Desert State Park
California Historical Landmark,482,Camp Wright,Oak Grove
California Historical Landmark,491,Exchange Hotel,San Diego
California Historical Landmark,502,Oak Grove Butterfield Stage Station,Warner Springs
California Historical Landmark,523,San Diego Barracks,San Diego
California Historical Landmark,533,San Pasqual Battlefield State Historic Park,Escondido
California Historical Landmark,538,Mason Street School,San Diego
California Historical Landmark,562,La Cristianita,San Clemente
California Historical Landmark,616,Las Flores Estancia,San Clemente
California Historical Landmark,626,Hubert H. Bancroft Ranch House,Spring Valley
California Historical Landmark,634,El Vado,Borrego Springs
California Historical Landmark,635,Los Puertecitos,Ocotillo Wells
California Historical Landmark,639,Palm Spring,Agua Caliente Springs
California Historical Landmark,647,Butterfield Overland Mail Route,Borrego Springs
California Historical Landmark,673,San Gregorio,Borrego Springs
California Historical Landmark,711,Montgomery Memorial,San Diego
California Historical Landmark,750,Peg Leg Smith Monument,Agua Caliente Springs
California Historical Landmark,764,Kate O. Sessions Nursery (Site of),San Diego
California Historical Landmark,784,El Camino Real (as Father Serra knew it),San Diego
California Historical Landmark,785,Santa Catarina,Borrego Springs
California Historical Landmark,793,San Felipe–Butterfield Stage Station,Anza-Borrego Desert State Park
California Historical Landmark,798,San Diego State University – First Doctorate in CSU System (site),San Diego
California Historical Landmark,818,Rockwell Field (First Military Flying School in America),Coronado
California Historical Landmark,830,Old Town San Diego State Historic Park,San Diego
California Historical Landmark,844,Hotel del Coronado,Coronado
California Historical Landmark,858,Pedro Fages Trail,Julian
California Historical Landmark,891,Spanish Landing,San Diego
California Historical Landmark,940,Rancho Guajome,Vista
California Historical Landmark,982,Historic Planned Community of Rancho Santa Fe,Rancho Santa Fe
California Historical Landmark,1020,Leo Carrillo Ranch (Rancho de los Kiotes),Carlsbad
California Historical Landmark,1023,National City Santa Fe Rail Depot (Transcontinental Railroad),National City
California Historical Landmark,1026,Rancho Santa Margarita y Las Flores (Santa Margarita Ranch House),Camp Pendleton
California Historical Landmark,1030,Star of India (Bark),San Diego
California Historical Landmark,1031,Berkeley (Ferryboat),San Diego
California Historical Landmark,1042,USS Recruit (“USS Neversail”),San Diego
California Historical Landmark,1044,Giant Dipper Roller Coaster (Mission Beach),San Diego
California Historical Landmark,1045,Camp Lockett,Campo
